2745
null	0
8190560	1
4630404	2
4630424	3
8190891	4
7310984	5
3730282	6
3730993	7
8190646	8
3730928	9
7310200	10
7310969	11
7310415	12
1030292	13
7980973	14
3731002	15
9350006	16
4630200	17
4630386	18
7980994	19
1030282	20
3730241	21
9350770	22
3390580	23
7240857	24
8190894	25
6760601	26
7310601	27
9350653	28
3250857	29
8870770	30
7530519	31
730700	32
3930519	33
730544	34
3250363	35
8190404	36
8190961	37
4990857	38
9350754	39
5370841	40
520857	41
8870969	42
2280857	43
3930544	44
9350772	45
8870518	46
7790200	47
4720200	48
7790969	49
8600770	50
3950205	51
8790872	52
4630043	53
7310460	54
7310496	55
1030700	56
8190687	57
3471023	58
9350913	59
6040857	60
3731023	61
8190729	62
3700964	63
9710960	64
6660176	65
6770646	66
7311002	67
4990928	68
7790937	69
4991002	70
4990772	71
8870942	72
730969	73
4610973	74
4990700	75
730519	76
6661002	77
4880973	78
4630930	79
5370292	80
5371023	81
4040200	82
5370519	83
5370200	84
7310646	85
5370481	86
1030984	87
5370544	88
250200	89
250519	90
4630937	91
8190857	92
1031002	93
1030638	94
1030729	95
1030857	96
1030200	97
1030994	98
250961	99
1030993	100
1030913	101
1031010	102
8190700	103
3391002	104
8190177	105
5370859	106
4630580	107
8190913	108
1480973	109
381010	110
4630364	111
250071	112
4720857	113
7310941	114
380638	115
380004	116
1030969	117
1030961	118
1030937	119
250424	120
9350942	121
1031007	122
1030404	123
1760973	124
1450973	125
5490973	126
5111023	127
7310872	128
7310177	129
4631007	130
7940973	131
1030928	132
4991023	133
5370282	134
5370571	135
9350952	136
9350561	137
9040652	138
7790424	139
7310371	140
7310937	141
7310700	142
9350419	143
5370896	144
8190481	145
10190961	146
7310043	147
7310864	148
1030371	149
251007	150
3350973	151
3730200	152
8790835	153
4330765	154
730404	155
7310994	156
1030043	157
7310765	158
5370404	159
4630765	160
2750646	161
730829	162
1030408	163
5370924	164
3230371	165
7530812	166
3700205	167
730205	168
731023	169
